"Replicate","Seed","Dataset","Tissue","Species","Cluster","Truth","NMarkers","ClusterPurity"
1,100,"PBMC","PBMC","Human","0","Naive T cell",25,0.972198820556024
1,100,"PBMC","PBMC","Human","1","Classical monocyte",25,0.959266802443992
1,100,"PBMC","PBMC","Human","2","B cell",25,0.971509971509972
1,100,"PBMC","PBMC","Human","3","Cytotoxic T cell",25,0.843853820598007
1,100,"PBMC","PBMC","Human","4","Natural killer cell",25,0.920245398773006
1,100,"PBMC","PBMC","Human","5","Non-classical monocyte",25,0.956521739130435
1,100,"PBMC","PBMC","Human","6","Dendritic cell",25,0.90625
1,100,"PBMC","PBMC","Human","7","Platelet",25,1
1,100,"BaronPancreas","Pancreas","Human","0","Alpha cell",25,0.992526158445441
1,100,"BaronPancreas","Pancreas","Human","1","Acinar cell",25,0.962244897959184
1,100,"BaronPancreas","Pancreas","Human","2","Alpha cell",25,0.997944501541624
1,100,"BaronPancreas","Pancreas","Human","3","Beta cell",25,0.988589211618257
1,100,"BaronPancreas","Pancreas","Human","4","Beta cell",25,0.996437054631829
1,100,"BaronPancreas","Pancreas","Human","5","Beta cell",25,0.997093023255814
1,100,"BaronPancreas","Pancreas","Human","6","Delta cell",25,0.942122186495177
1,100,"BaronPancreas","Pancreas","Human","7","Ductal cell",25,0.997933884297521
1,100,"BaronPancreas","Pancreas","Human","8","Ductal cell",25,0.988023952095808
1,100,"BaronPancreas","Pancreas","Human","9","Stellate cell",25,0.985663082437276
1,100,"BaronPancreas","Pancreas","Human","10","Gamma cell",25,0.980544747081712
1,100,"BaronPancreas","Pancreas","Human","11","Endothelial cell",25,0.996
1,100,"BaronPancreas","Pancreas","Human","12","Stellate cell",25,0.898989898989899
1,100,"BaronPancreas","Pancreas","Human","13","Ductal cell",25,0.966666666666667
1,100,"BaronPancreas","Pancreas","Human","14","Macrophage",25,0.533980582524272
1,100,"BaronPancreas","Pancreas","Human","15","Ductal cell",25,1
1,100,"MuraroPancreas","Pancreas","Human","0","Alpha cell",25,0.996343692870201
1,100,"MuraroPancreas","Pancreas","Human","1","Beta cell",25,0.961139896373057
1,100,"MuraroPancreas","Pancreas","Human","2","Alpha cell",25,0.995918367346939
1,100,"MuraroPancreas","Pancreas","Human","3","Acinar cell",25,0.935622317596567
1,100,"MuraroPancreas","Pancreas","Human","4","Ductal cell",25,0.947368421052632
1,100,"MuraroPancreas","Pancreas","Human","5","Delta cell",25,0.994652406417112
1,100,"MuraroPancreas","Pancreas","Human","6","Gamma cell",25,0.9
1,100,"MuraroPancreas","Pancreas","Human","7","Stellate cell",25,0.929411764705882
1,100,"MuraroPancreas","Pancreas","Human","8","Beta cell",25,0.892307692307692
1,100,"MuraroPancreas","Pancreas","Human","9","Endothelial cell",25,1
1,100,"MuraroPancreas","Pancreas","Human","10","Ductal cell",25,0.9375
1,100,"TasicBrain","Brain","Mouse","0","Excitatory neuron",25,0.927392739273927
1,100,"TasicBrain","Brain","Mouse","1","Inhibitory neuron",25,0.976027397260274
1,100,"TasicBrain","Brain","Mouse","2","Inhibitory neuron",25,0.976744186046512
1,100,"TasicBrain","Brain","Mouse","3","Excitatory neuron",25,0.9
1,100,"TasicBrain","Brain","Mouse","4","Excitatory neuron",25,0.94047619047619
1,100,"TasicBrain","Brain","Mouse","5","Inhibitory neuron",25,0.993377483443709
1,100,"TasicBrain","Brain","Mouse","6","Excitatory neuron",25,0.992481203007519
1,100,"TasicBrain","Brain","Mouse","7","Excitatory neuron",25,0.944444444444444
1,100,"TasicBrain","Brain","Mouse","8","Inhibitory neuron",25,0.972972972972973
1,100,"TasicBrain","Brain","Mouse","9","Astrocyte",25,0.977272727272727
1,100,"TasicBrain","Brain","Mouse","10","Inhibitory neuron",25,1
1,100,"TasicBrain","Brain","Mouse","11","Endothelial cell",25,0.692307692307692
1,100,"TasicBrain","Brain","Mouse","12","Oligodendrocyte",25,0.971428571428571
1,100,"TasicBrain","Brain","Mouse","13","Oligodendrocyte precursor cell",25,0.709677419354839
1,100,"TasicBrain","Brain","Mouse","14","Microglia",25,0.956521739130435
1,100,"ZeiselBrain","Brain","Mouse","0","Excitatory neuron",25,0.990049751243781
1,100,"ZeiselBrain","Brain","Mouse","1","Oligodendrocyte",25,1
1,100,"ZeiselBrain","Brain","Mouse","2","Excitatory neuron",25,0.710144927536232
1,100,"ZeiselBrain","Brain","Mouse","3","Inhibitory neuron",25,0.936
1,100,"ZeiselBrain","Brain","Mouse","4","Astrocyte",25,0.504098360655738
1,100,"ZeiselBrain","Brain","Mouse","5","Endothelial cell",25,0.63849765258216
1,100,"ZeiselBrain","Brain","Mouse","6","Macrophage",25,0.570175438596491
1,100,"ZeiselBrain","Brain","Mouse","7","Oligodendrocyte",25,0.981818181818182
1,100,"ZeiselBrain","Brain","Mouse","8","Excitatory neuron",25,0.811881188118812
1,100,"ZeiselBrain","Brain","Mouse","9","Oligodendrocyte",25,0.729166666666667
1,100,"ZeiselBrain","Brain","Mouse","10","Inhibitory neuron",25,0.626666666666667
1,100,"ZeiselBrain","Brain","Mouse","11","Smooth muscle cell",25,0.643835616438356
1,100,"ZeiselBrain","Brain","Mouse","12","Excitatory neuron",25,0.9
1,100,"ZeiselBrain","Brain","Mouse","13","Oligodendrocyte",25,1
1,100,"ZeiselBrain","Brain","Mouse","14","Excitatory neuron",25,0.75
1,100,"ZeiselBrain","Brain","Mouse","15","Microglia",25,0.583333333333333
1,100,"ZilionisLung","Lung","Human","0","T cell",25,0.952837140751658
1,100,"ZilionisLung","Lung","Human","1","Neutrophil",25,0.990206746463547
1,100,"ZilionisLung","Lung","Human","2","Dendritic cell",25,0.989795918367347
1,100,"ZilionisLung","Lung","Human","3","B cell",25,0.941176470588235
1,100,"ZilionisLung","Lung","Human","4","Natural killer cell",25,0.809716599190283
1,100,"ZilionisLung","Lung","Human","5","Neutrophil",25,0.976958525345622
1,100,"ZilionisLung","Lung","Human","6","Epithelial cell",25,0.977777777777778
1,100,"ZilionisLung","Lung","Human","7","Monocyte",25,0.937888198757764
1,100,"ZilionisLung","Lung","Human","8","Epithelial cell",25,0.993333333333333
1,100,"ZilionisLung","Lung","Human","9","Plasma cell",25,1
1,100,"ZilionisLung","Lung","Human","10","T cell",25,0.659574468085106
1,100,"ZilionisLung","Lung","Human","11","Plasma cell",25,0.987179487179487
1,100,"ZilionisLung","Lung","Human","12","Fibroblast",25,0.73134328358209
1,100,"ZilionisLung","Lung","Human","13","Epithelial cell",25,1
1,100,"ZilionisLung","Lung","Human","14","Endothelial cell",25,1
1,100,"ZilionisLung","Lung","Human","15","Erythrocyte",3,0.96875
1,100,"ZilionisLung","Lung","Human","16","Dendritic cell",25,0.96
2,200,"PBMC","PBMC","Human","0","Naive T cell",25,0.972198820556024
2,200,"PBMC","PBMC","Human","1","Classical monocyte",25,0.959266802443992
2,200,"PBMC","PBMC","Human","2","B cell",25,0.971509971509972
2,200,"PBMC","PBMC","Human","3","Cytotoxic T cell",25,0.843853820598007
2,200,"PBMC","PBMC","Human","4","Natural killer cell",25,0.920245398773006
2,200,"PBMC","PBMC","Human","5","Non-classical monocyte",25,0.956521739130435
2,200,"PBMC","PBMC","Human","6","Dendritic cell",25,0.90625
2,200,"PBMC","PBMC","Human","7","Platelet",25,1
2,200,"BaronPancreas","Pancreas","Human","0","Alpha cell",25,0.992526158445441
2,200,"BaronPancreas","Pancreas","Human","1","Acinar cell",25,0.962244897959184
2,200,"BaronPancreas","Pancreas","Human","2","Alpha cell",25,0.997944501541624
2,200,"BaronPancreas","Pancreas","Human","3","Beta cell",25,0.988589211618257
2,200,"BaronPancreas","Pancreas","Human","4","Beta cell",25,0.996437054631829
2,200,"BaronPancreas","Pancreas","Human","5","Beta cell",25,0.997093023255814
2,200,"BaronPancreas","Pancreas","Human","6","Delta cell",25,0.942122186495177
2,200,"BaronPancreas","Pancreas","Human","7","Ductal cell",25,0.997933884297521
2,200,"BaronPancreas","Pancreas","Human","8","Ductal cell",25,0.988023952095808
2,200,"BaronPancreas","Pancreas","Human","9","Stellate cell",25,0.985663082437276
2,200,"BaronPancreas","Pancreas","Human","10","Gamma cell",25,0.980544747081712
2,200,"BaronPancreas","Pancreas","Human","11","Endothelial cell",25,0.996
2,200,"BaronPancreas","Pancreas","Human","12","Stellate cell",25,0.898989898989899
2,200,"BaronPancreas","Pancreas","Human","13","Ductal cell",25,0.966666666666667
2,200,"BaronPancreas","Pancreas","Human","14","Macrophage",25,0.533980582524272
2,200,"BaronPancreas","Pancreas","Human","15","Ductal cell",25,1
2,200,"MuraroPancreas","Pancreas","Human","0","Alpha cell",25,0.996343692870201
2,200,"MuraroPancreas","Pancreas","Human","1","Beta cell",25,0.961139896373057
2,200,"MuraroPancreas","Pancreas","Human","2","Alpha cell",25,0.995918367346939
2,200,"MuraroPancreas","Pancreas","Human","3","Acinar cell",25,0.935622317596567
2,200,"MuraroPancreas","Pancreas","Human","4","Ductal cell",25,0.947368421052632
2,200,"MuraroPancreas","Pancreas","Human","5","Delta cell",25,0.994652406417112
2,200,"MuraroPancreas","Pancreas","Human","6","Gamma cell",25,0.9
2,200,"MuraroPancreas","Pancreas","Human","7","Stellate cell",25,0.929411764705882
2,200,"MuraroPancreas","Pancreas","Human","8","Beta cell",25,0.892307692307692
2,200,"MuraroPancreas","Pancreas","Human","9","Endothelial cell",25,1
2,200,"MuraroPancreas","Pancreas","Human","10","Ductal cell",25,0.9375
2,200,"TasicBrain","Brain","Mouse","0","Excitatory neuron",25,0.927392739273927
2,200,"TasicBrain","Brain","Mouse","1","Inhibitory neuron",25,0.976027397260274
2,200,"TasicBrain","Brain","Mouse","2","Inhibitory neuron",25,0.976744186046512
2,200,"TasicBrain","Brain","Mouse","3","Excitatory neuron",25,0.9
2,200,"TasicBrain","Brain","Mouse","4","Excitatory neuron",25,0.94047619047619
2,200,"TasicBrain","Brain","Mouse","5","Inhibitory neuron",25,0.993377483443709
2,200,"TasicBrain","Brain","Mouse","6","Excitatory neuron",25,0.992481203007519
2,200,"TasicBrain","Brain","Mouse","7","Excitatory neuron",25,0.944444444444444
2,200,"TasicBrain","Brain","Mouse","8","Inhibitory neuron",25,0.972972972972973
2,200,"TasicBrain","Brain","Mouse","9","Astrocyte",25,0.977272727272727
2,200,"TasicBrain","Brain","Mouse","10","Inhibitory neuron",25,1
2,200,"TasicBrain","Brain","Mouse","11","Endothelial cell",25,0.692307692307692
2,200,"TasicBrain","Brain","Mouse","12","Oligodendrocyte",25,0.971428571428571
2,200,"TasicBrain","Brain","Mouse","13","Oligodendrocyte precursor cell",25,0.709677419354839
2,200,"TasicBrain","Brain","Mouse","14","Microglia",25,0.956521739130435
2,200,"ZeiselBrain","Brain","Mouse","0","Excitatory neuron",25,0.990049751243781
2,200,"ZeiselBrain","Brain","Mouse","1","Oligodendrocyte",25,1
2,200,"ZeiselBrain","Brain","Mouse","2","Excitatory neuron",25,0.710144927536232
2,200,"ZeiselBrain","Brain","Mouse","3","Inhibitory neuron",25,0.936
2,200,"ZeiselBrain","Brain","Mouse","4","Astrocyte",25,0.504098360655738
2,200,"ZeiselBrain","Brain","Mouse","5","Endothelial cell",25,0.63849765258216
2,200,"ZeiselBrain","Brain","Mouse","6","Macrophage",25,0.570175438596491
2,200,"ZeiselBrain","Brain","Mouse","7","Oligodendrocyte",25,0.981818181818182
2,200,"ZeiselBrain","Brain","Mouse","8","Excitatory neuron",25,0.811881188118812
2,200,"ZeiselBrain","Brain","Mouse","9","Oligodendrocyte",25,0.729166666666667
2,200,"ZeiselBrain","Brain","Mouse","10","Inhibitory neuron",25,0.626666666666667
2,200,"ZeiselBrain","Brain","Mouse","11","Smooth muscle cell",25,0.643835616438356
2,200,"ZeiselBrain","Brain","Mouse","12","Excitatory neuron",25,0.9
2,200,"ZeiselBrain","Brain","Mouse","13","Oligodendrocyte",25,1
2,200,"ZeiselBrain","Brain","Mouse","14","Excitatory neuron",25,0.75
2,200,"ZeiselBrain","Brain","Mouse","15","Microglia",25,0.583333333333333
2,200,"ZilionisLung","Lung","Human","0","T cell",25,0.941266209000763
2,200,"ZilionisLung","Lung","Human","1","Neutrophil",25,0.995689655172414
2,200,"ZilionisLung","Lung","Human","2","Dendritic cell",25,0.987788331071913
2,200,"ZilionisLung","Lung","Human","3","B cell",25,0.924770642201835
2,200,"ZilionisLung","Lung","Human","4","Natural killer cell",25,0.843881856540084
2,200,"ZilionisLung","Lung","Human","5","Neutrophil",25,0.959641255605381
2,200,"ZilionisLung","Lung","Human","6","Epithelial cell",25,0.985507246376812
2,200,"ZilionisLung","Lung","Human","7","Plasma cell",25,0.979381443298969
2,200,"ZilionisLung","Lung","Human","8","Monocyte",25,0.935483870967742
2,200,"ZilionisLung","Lung","Human","9","Epithelial cell",25,0.986928104575163
2,200,"ZilionisLung","Lung","Human","10","Endothelial cell",25,0.40625
2,200,"ZilionisLung","Lung","Human","11","T cell",25,0.970149253731343
2,200,"ZilionisLung","Lung","Human","12","Dendritic cell",25,1
2,200,"ZilionisLung","Lung","Human","13","Erythrocyte",2,1
2,200,"ZilionisLung","Lung","Human","14","Platelet",25,0.538461538461538
2,200,"ZilionisLung","Lung","Human","15","T cell",25,0.92
3,300,"PBMC","PBMC","Human","0","Naive T cell",25,0.972198820556024
3,300,"PBMC","PBMC","Human","1","Classical monocyte",25,0.959266802443992
3,300,"PBMC","PBMC","Human","2","B cell",25,0.971509971509972
3,300,"PBMC","PBMC","Human","3","Cytotoxic T cell",25,0.843853820598007
3,300,"PBMC","PBMC","Human","4","Natural killer cell",25,0.920245398773006
3,300,"PBMC","PBMC","Human","5","Non-classical monocyte",25,0.956521739130435
3,300,"PBMC","PBMC","Human","6","Dendritic cell",25,0.90625
3,300,"PBMC","PBMC","Human","7","Platelet",25,1
3,300,"BaronPancreas","Pancreas","Human","0","Alpha cell",25,0.992526158445441
3,300,"BaronPancreas","Pancreas","Human","1","Acinar cell",25,0.962244897959184
3,300,"BaronPancreas","Pancreas","Human","2","Alpha cell",25,0.997944501541624
3,300,"BaronPancreas","Pancreas","Human","3","Beta cell",25,0.988589211618257
3,300,"BaronPancreas","Pancreas","Human","4","Beta cell",25,0.996437054631829
3,300,"BaronPancreas","Pancreas","Human","5","Beta cell",25,0.997093023255814
3,300,"BaronPancreas","Pancreas","Human","6","Delta cell",25,0.942122186495177
3,300,"BaronPancreas","Pancreas","Human","7","Ductal cell",25,0.997933884297521
3,300,"BaronPancreas","Pancreas","Human","8","Ductal cell",25,0.988023952095808
3,300,"BaronPancreas","Pancreas","Human","9","Stellate cell",25,0.985663082437276
3,300,"BaronPancreas","Pancreas","Human","10","Gamma cell",25,0.980544747081712
3,300,"BaronPancreas","Pancreas","Human","11","Endothelial cell",25,0.996
3,300,"BaronPancreas","Pancreas","Human","12","Stellate cell",25,0.898989898989899
3,300,"BaronPancreas","Pancreas","Human","13","Ductal cell",25,0.966666666666667
3,300,"BaronPancreas","Pancreas","Human","14","Macrophage",25,0.533980582524272
3,300,"BaronPancreas","Pancreas","Human","15","Ductal cell",25,1
3,300,"MuraroPancreas","Pancreas","Human","0","Alpha cell",25,0.996343692870201
3,300,"MuraroPancreas","Pancreas","Human","1","Beta cell",25,0.961139896373057
3,300,"MuraroPancreas","Pancreas","Human","2","Alpha cell",25,0.995918367346939
3,300,"MuraroPancreas","Pancreas","Human","3","Acinar cell",25,0.935622317596567
3,300,"MuraroPancreas","Pancreas","Human","4","Ductal cell",25,0.947368421052632
3,300,"MuraroPancreas","Pancreas","Human","5","Delta cell",25,0.994652406417112
3,300,"MuraroPancreas","Pancreas","Human","6","Gamma cell",25,0.9
3,300,"MuraroPancreas","Pancreas","Human","7","Stellate cell",25,0.929411764705882
3,300,"MuraroPancreas","Pancreas","Human","8","Beta cell",25,0.892307692307692
3,300,"MuraroPancreas","Pancreas","Human","9","Endothelial cell",25,1
3,300,"MuraroPancreas","Pancreas","Human","10","Ductal cell",25,0.9375
3,300,"TasicBrain","Brain","Mouse","0","Excitatory neuron",25,0.927392739273927
3,300,"TasicBrain","Brain","Mouse","1","Inhibitory neuron",25,0.976027397260274
3,300,"TasicBrain","Brain","Mouse","2","Inhibitory neuron",25,0.976744186046512
3,300,"TasicBrain","Brain","Mouse","3","Excitatory neuron",25,0.9
3,300,"TasicBrain","Brain","Mouse","4","Excitatory neuron",25,0.94047619047619
3,300,"TasicBrain","Brain","Mouse","5","Inhibitory neuron",25,0.993377483443709
3,300,"TasicBrain","Brain","Mouse","6","Excitatory neuron",25,0.992481203007519
3,300,"TasicBrain","Brain","Mouse","7","Excitatory neuron",25,0.944444444444444
3,300,"TasicBrain","Brain","Mouse","8","Inhibitory neuron",25,0.972972972972973
3,300,"TasicBrain","Brain","Mouse","9","Astrocyte",25,0.977272727272727
3,300,"TasicBrain","Brain","Mouse","10","Inhibitory neuron",25,1
3,300,"TasicBrain","Brain","Mouse","11","Endothelial cell",25,0.692307692307692
3,300,"TasicBrain","Brain","Mouse","12","Oligodendrocyte",25,0.971428571428571
3,300,"TasicBrain","Brain","Mouse","13","Oligodendrocyte precursor cell",25,0.709677419354839
3,300,"TasicBrain","Brain","Mouse","14","Microglia",25,0.956521739130435
3,300,"ZeiselBrain","Brain","Mouse","0","Excitatory neuron",25,0.990049751243781
3,300,"ZeiselBrain","Brain","Mouse","1","Oligodendrocyte",25,1
3,300,"ZeiselBrain","Brain","Mouse","2","Excitatory neuron",25,0.710144927536232
3,300,"ZeiselBrain","Brain","Mouse","3","Inhibitory neuron",25,0.936
3,300,"ZeiselBrain","Brain","Mouse","4","Astrocyte",25,0.504098360655738
3,300,"ZeiselBrain","Brain","Mouse","5","Endothelial cell",25,0.63849765258216
3,300,"ZeiselBrain","Brain","Mouse","6","Macrophage",25,0.570175438596491
3,300,"ZeiselBrain","Brain","Mouse","7","Oligodendrocyte",25,0.981818181818182
3,300,"ZeiselBrain","Brain","Mouse","8","Excitatory neuron",25,0.811881188118812
3,300,"ZeiselBrain","Brain","Mouse","9","Oligodendrocyte",25,0.729166666666667
3,300,"ZeiselBrain","Brain","Mouse","10","Inhibitory neuron",25,0.626666666666667
3,300,"ZeiselBrain","Brain","Mouse","11","Smooth muscle cell",25,0.643835616438356
3,300,"ZeiselBrain","Brain","Mouse","12","Excitatory neuron",25,0.9
3,300,"ZeiselBrain","Brain","Mouse","13","Oligodendrocyte",25,1
3,300,"ZeiselBrain","Brain","Mouse","14","Excitatory neuron",25,0.75
3,300,"ZeiselBrain","Brain","Mouse","15","Microglia",25,0.583333333333333
3,300,"ZilionisLung","Lung","Human","0","T cell",25,0.94775570272259
3,300,"ZilionisLung","Lung","Human","1","Neutrophil",25,0.990877993158495
3,300,"ZilionisLung","Lung","Human","2","Dendritic cell",25,0.994666666666667
3,300,"ZilionisLung","Lung","Human","3","B cell",25,0.919607843137255
3,300,"ZilionisLung","Lung","Human","4","Natural killer cell",25,0.818897637795276
3,300,"ZilionisLung","Lung","Human","5","Neutrophil",25,0.967441860465116
3,300,"ZilionisLung","Lung","Human","6","Monocyte",25,0.767295597484277
3,300,"ZilionisLung","Lung","Human","7","Epithelial cell",25,1
3,300,"ZilionisLung","Lung","Human","8","Fibroblast",25,0.446666666666667
3,300,"ZilionisLung","Lung","Human","9","Epithelial cell",25,0.952702702702703
3,300,"ZilionisLung","Lung","Human","10","Plasma cell",25,0.982456140350877
3,300,"ZilionisLung","Lung","Human","11","Plasma cell",25,1
3,300,"ZilionisLung","Lung","Human","12","T cell",25,1
3,300,"ZilionisLung","Lung","Human","13","Epithelial cell",25,1
3,300,"ZilionisLung","Lung","Human","14","Neutrophil",25,0.484848484848485
3,300,"ZilionisLung","Lung","Human","15","Dendritic cell",25,1
3,300,"ZilionisLung","Lung","Human","16","T cell",25,0.88
3,300,"ZilionisLung","Lung","Human","17","Erythrocyte",3,1
